Flat No,Device ID,Sensor Type,Event Type,Leak Status,Time Occurred,Time Resolved,Duration (minutes),Details
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-25T06:08:07.488Z,2026-05-25T06:08:18.514Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-05-25T06:08:27.937Z,2026-05-25T06:08:41.025Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-25T06:13:47.201Z,2026-05-25T06:13:58.198Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-05-25T06:14:10.637Z,2026-05-25T06:14:21.653Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-25T06:22:35.786Z,2026-05-25T06:22:49.673Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-05-25T06:23:27.142Z,2026-05-25T06:23:39.135Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-25T06:23:29.364Z,2026-05-25T06:23:37.744Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-25T06:32:49.164Z,2026-05-25T06:33:00.265Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-05-25T06:33:01.706Z,2026-05-25T06:33:12.666Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-25T06:50:49.189Z,2026-05-25T06:51:02.109Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-05-25T06:59:05.240Z,2026-05-25T06:59:16.103Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-25T07:23:46.909Z,2026-05-25T07:23:57.860Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-05-25T07:24:27.330Z,2026-05-25T07:24:39.341Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-25T08:11:29.622Z,2026-05-25T08:11:40.619Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-25T08:37:47.456Z,2026-05-25T08:37:58.415Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-05-25T08:38:26.884Z,2026-05-25T08:38:42.600Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-25T08:54:26.605Z,2026-05-25T08:54:40.118Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-05-25T08:54:39.897Z,2026-05-25T08:54:54.962Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-05-25T09:03:04.433Z,2026-05-25T09:03:18.465Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-25T09:03:25.622Z,2026-05-25T09:03:36.888Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-25T09:09:28.637Z,2026-05-25T09:09:39.688Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-05-25T09:11:44.922Z,2026-05-25T09:11:55.878Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-05-25T09:22:33.219Z,2026-05-25T09:22:45.186Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-25T09:28:10.506Z,2026-05-25T09:28:28.529Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-25T09:33:11.152Z,2026-05-25T09:33:22.106Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-05-25T09:34:55.493Z,2026-05-25T09:35:09.523Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-25T09:41:32.607Z,2026-05-25T09:41:49.595Z,0,Leak resolved. Duration: 0 minutes
