sno,communityId,flatNo,deviceId,sensorType,status
1,1,"A2-082","GVM202600001","Smoke Detector",2
2,1,"A11-092","GVM202600002","Smoke Detector",2
3,1,"A7-041","GVM202600003","Multi-Sensor",2
4,1,"A6-033","GVM202600004","Humidity Sensor",2
5,1,"A16-032","GVM202600005","Temperature Sensor",2
6,1,"A14-105","GVM202600006","Humidity Sensor",2
7,1,"A4-031","GVM202600007","Temperature Sensor",2
8,1,"A5-023","GVM202600008","Smoke Detector",2
9,1,"A17-071","GVM202600009","Temperature Sensor",2
10,1,"A19-015","GVM202600010","Gas Sensor",2
11,1,"A10-071","GVM202600011","Humidity Sensor",2
12,1,"A2-062","GVM202600012","Humidity Sensor",2
13,1,"A6-051","GVM202600013","Gas Sensor",2
14,1,"A1-051","GVM202600014","Multi-Sensor",2
15,1,"A11-051","GVM202600015","Humidity Sensor",2
16,1,"A15-103","GVM202600016","Smoke Detector",2
17,1,"A7-071","GVM202600017","Smoke Detector",2
18,1,"A11-041","GVM202600018","Humidity Sensor",2
19,1,"A6-011","GVM202600019","Smoke Detector",2
20,1,"A2-022","GVM202600020","Gas Sensor",2
21,1,"A11-064","GVM202600021","Temperature Sensor",2
22,1,"A17-083","GVM202600022","Smoke Detector",2
23,1,"A17-082","GVM202600023","Smoke Detector",2
24,1,"A12-053","GVM202600024","Gas Sensor",2
25,1,"A13-081","GVM202600025","Temperature Sensor",2
26,1,"A17-033","GVM202600026","Humidity Sensor",2
27,1,"A8-045","GVM202600027","Smoke Detector",2
28,1,"A8-021","GVM202600028","Smoke Detector",2
29,1,"A9-084","GVM202600029","Gas Sensor",2
30,1,"A20-065","GVM202600030","Multi-Sensor",2
31,1,"A15-051","GVM202600031","Gas Sensor",2
32,1,"A10-103","GVM202600032","Smoke Detector",2
33,1,"A13-061","GVM202600033","Gas Sensor",2
34,1,"A8-021","GVM202600034","Gas Sensor",2
35,1,"A8-021","GVM202600035","Gas Sensor",2
36,1,"A10-013","GVM202600036","Humidity Sensor",2
37,1,"A15-012","GVM202600037","Humidity Sensor",2
38,1,"A20-024","GVM202600038","Temperature Sensor",2
39,1,"A13-064","GVM202600039","Gas Sensor",2
40,1,"A1-014","GVM202600040","Temperature Sensor",2
41,1,"A7-085","GVM202600041","Gas Sensor",2
42,1,"A14-105","GVM202600042","Gas Sensor",2
43,1,"A12-071","GVM202600043","Temperature Sensor",2
44,1,"A3-082","GVM202600044","Temperature Sensor",2
45,1,"A10-074","GVM202600045","Gas Sensor",2
46,1,"A4-073","GVM202600046","Humidity Sensor",2
47,1,"A4-061","GVM202600047","Humidity Sensor",2
48,1,"A19-072","GVM202600048","Temperature Sensor",2
49,1,"A3-051","GVM202600049","Humidity Sensor",2
50,1,"A19-031","GVM202600050","Humidity Sensor",2
51,1,"A13-054","GVM202600051","Gas Sensor",2
52,1,"A3-075","GVM202600052","Multi-Sensor",2
53,1,"A1-032","GVM202600053","Gas Sensor",2
54,1,"A8-102","GVM202600054","Multi-Sensor",2
55,1,"A15-074","GVM202600055","Temperature Sensor",2
56,1,"A18-054","GVM202600056","Smoke Detector",2
57,1,"A9-095","GVM202600057","Multi-Sensor",2
58,1,"A9-052","GVM202600058","Multi-Sensor",2
59,1,"A10-013","GVM202600059","Humidity Sensor",2
60,1,"A17-013","GVM202600060","Temperature Sensor",2
61,1,"A11-074","GVM202600061","Temperature Sensor",2
